,id,colorDescription,portrait_url,squarishURL,Stock,isNew,currentPrice_2020-07-26,fullPrice,subtitle,title,date,url,currentPrice_2020-07-09,currentPrice_2020-07-15,currentPrice_2020-07-22,currentPrice_2020-07-11,currentPrice_2020-08-02,currentPrice_2020-07-20,currentPrice_2020-07-13,currentPrice_2020-07-12,currentPrice_2020-07-24,currentPrice_2020-07-25,currentPrice_2020-07-18,currentPrice_2020-07-16,currentPrice_2020-07-17,currentPrice_2020-08-08,currentPrice_2020-07-30,currentPrice_2020-07-21,currentPrice_2020-07-23,currentPrice_2020-07-10,currentPrice_2020-07-29,currentPrice_2020-07-19,currentPrice_2020-08-04,currentPrice_2020-07-14,currentPrice_2020-07-31,currentPrice_2020-07-07,currentPrice_2020-08-01,currentPrice_2020-08-05,currentPrice_2020-07-08,currentPrice_2020-07-28,currentPrice_2020-08-07
108,2ef32bbc-1012-3c8b-a126-52730e8feafc,Azul vacío/Blanco/Negro/Voltio ligero,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/q6gp3pkeuhbdfxyvgjls/image.jpg",https://static.nike.com/a/images/t_default/w60fibbkaa4wytehi1fg/calzado-de-fútbol-para-terreno-blando-mercurial-superfly-7-academy-mds-sg-pro-anti-clog-traction-77KJ3X.jpg,True,False,1598.0,1999,Calzado de fútbol para terreno blando,Nike Mercurial Superfly 7 Academy MDS SG-PRO Anti-Clog Traction,2020-07-26,{countryLang}/t/calzado-de-fútbol-para-terreno-blando-mercurial-superfly-7-academy-mds-sg-pro-anti-clog-traction-77KJ3X/CK0014-401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,d36c4556-a2e6-33a3-a4ad-3594e135090a,Negro/Blanco/Índigo estelar/Índigo Niebla,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/ssuwjzjoclqfu08hu3tr/calzado-de-salto-con-clavos-zoom-lj-4-y7ol2M.jpg",https://static.nike.com/a/images/t_default/ssuwjzjoclqfu08hu3tr/calzado-de-salto-con-clavos-zoom-lj-4-y7ol2M.jpg,True,False,1598.0,1998,Calzado de salto con clavos unisex,Nike Zoom LJ 4,2020-07-26,{countryLang}/t/calzado-de-salto-con-clavos-zoom-lj-4-y7ol2M/415339-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5f5c6ce7-e97c-364c-b8dc-14532c1c5b67,Blanco/Gris lobo/Naranja césped/Trueno azul,"https://c.static-nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/ep39so9n3ljbuzfqnlvb/calzado-cortez-kenny-4-phKQ2R.jpg",https://c.static-nike.com/a/images/t_default/ep39so9n3ljbuzfqnlvb/calzado-cortez-kenny-4-phKQ2R.jpg,False,False,1558.0,1949,Calzado para hombre,Nike Cortez Kenny IV,2020-07-26,{countryLang}/t/calzado-cortez-kenny-4-phKQ2R/AV2950-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1a9bb07b-e53d-3926-853d-5bbf01e804bf,Negro/Oro intenso metálico,"https://c.static-nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/tjnkmllhdyg88x5hwkgu/image.jpg",https://c.static-nike.com/a/images/t_default/hkgrwelmgvdybp48kbil/calzado-de-fútbol-para-terreno-firme-phantom-vision-elite-dynamic-fit-fg-zhhjXk.jpg,True,False,4398.0,5499,Calzado de fútbol para terreno firme,Nike Phantom Vision Elite Dynamic Fit FG,2020-07-26,{countryLang}/t/calzado-de-fútbol-para-terreno-firme-phantom-vision-elite-dynamic-fit-fg-zhhjXk/AO3262-077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,a86a4af8-bbeb-3778-b79c-99537e3eb3bb,Negro/Blanco/Rojo sirena,"https://c.static-nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/pc8rjjm4nww5a6cnpmqb/calzado-flyknit-trainer-v2TE9K0J.jpg",https://c.static-nike.com/a/images/t_default/pc8rjjm4nww5a6cnpmqb/calzado-flyknit-trainer-v2TE9K0J.jpg,True,False,2168.0,3099,Calzado unisex,Nike Flyknit Trainer,2020-07-26,{countryLang}/t/calzado-flyknit-trainer-v2TE9K0J/AH8396-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,fe4e61db-012a-37ae-b393-908f659bb3c7,Negro/Gris aceite/Negro,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/dc7054b9-3faf-41e1-aaa6-53db7b2f1d0c/image.jpg",https://static.nike.com/a/images/t_default/ed834cc1-c128-4a96-b97a-71986fd2c51a/calzado-air-max-tailwind-99-jJ0bVX.jpg,True,False,2478.0,3549,Calzado para hombre,Nike Air Max Tailwind 99,2020-07-26,{countryLang}/t/calzado-air-max-tailwind-99-jJ0bVX/CQ6569-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,085984ab-bebb-3d11-ba1e-b5382c1d063c,Platino puro/Negro/Blanco,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/gnrxoyrteahd642eykk4/image.jpg",https://static.nike.com/a/images/t_default/ezh5obxpqxr0gcbos3f7/calzado-air-pegasus-92-lite-V7H355.jpg,True,False,1358.0,1949,Calzado para hombre,Nike Air Pegasus 92 Lite,2020-07-26,{countryLang}/t/calzado-air-pegasus-92-lite-V7H355/CI9138-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,8c440c2e-ae4b-3cac-a07e-04d27d5e9c3e,Burdeos/Morado regencia/Morado provenzal/Avalancha lima,"https://c.static-nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/fdqxfvj6vsulkfkoobxy/calzado-de-carrera-de-distancia-con-clavos-zoom-500-v2TEpnlx.jpg",https://c.static-nike.com/a/images/t_default/fdqxfvj6vsulkfkoobxy/calzado-de-carrera-de-distancia-con-clavos-zoom-500-v2TEpnlx.jpg,True,False,1518.0,1898,Calzado de carrera de distancia con clavos unisex,Nike Zoom D,2020-07-26,{countryLang}/t/calzado-de-carrera-de-distancia-con-clavos-zoom-500-v2TEpnlx/819164-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4b5734a5-df57-3060-b29f-7b06ac54d916,Platino puro/Hiperuva/Oro cañón,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/345c28ce-5a97-4487-8805-42760e869009/calzado-air-max-720-obj-nCC7rt.jpg",https://static.nike.com/a/images/t_default/345c28ce-5a97-4487-8805-42760e869009/calzado-air-max-720-obj-nCC7rt.jpg,False,False,3118.0,3899,Calzado para hombre,Nike Air Max 720 (OBJ),2020-07-26,{countryLang}/t/calzado-air-max-720-obj-nCC7rt/CK2531-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,8a0b6b95-8b56-31e7-8f71-73e6b2dde1b3,Obsidiana oscuro/Azul carrera/Esmeralda resplandor/Vela,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/g20iti9q6j2wx3ai1gmr/image.jpg",https://static.nike.com/a/images/t_default/dpt7rqheq0fp2q5vecpl/calzado-air-max2-light-VVGF92.jpg,True,False,2518.0,3149,Calzado para hombre,Nike Air Max2 Light,2020-07-26,{countryLang}/t/calzado-air-max2-light-VVGF92/BV1359-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
